BookName,Category,Summary,Author
Black Panther Book 4,Comics,Where next for the Black Panther? Find out as a sensational new arc begins! Eons ago - before Black Panthers  before Wakanda  before time itself ,Ta-Nehisi Coates 
Paper Girls: Book One,Comics,From BRIAN K. VAUGHAN  New York Times bestselling writer of SAGA  and CLIFF CHIANG  legendary artist of Wonder Woman  this gorgeous oversized deluxe,Brian K. Vaughan 
Goldie Vance Vol. 3,Comics,Catch up with the coolest new girl detective on the block  Goldie Vance.Sixteen-year-old Marigold “Goldie” Vance has an insatiable curiosity with dreams ,Hope Larson 
Injection  Vol. 3,Comics,An archaeological dig in Cornwall has gone very wrong  very quickly. And Maria Kilbride has her hands full already  as the effects of the Injection begin to dig in,Warren Ellis
Godshaper Vol. 1,Comics,Ennay is a man without a god. Bud is a god without a human. Together  they might just survive.In 1958  the laws of physics stopped working: ignition  electricity,Simon Spurrier 
Promise Me  Dad,NonFiction,A deeply moving memoir about the year that would forever change both a family and a country. In November 2014  thirteen members of the Biden family gathered on Nantucket for Thanksgiving,Joe Biden 
Prairie Fires,NonFiction,The first comprehensive historical biography of Laura Ingalls Wilder  the beloved author of the Little House on the Prairie book series Millions of readers of Little House on the Prairie ,Caroline Fraser 
It's All Relative,NonFiction,New York Times bestselling author of The Know-It-All and The Year of Living Biblically  A.J. Jacobs undergoes a hilarious  heartfelt quest to understand what constitutes family,A.J. Jacobs
Queen Victoria's Matchmaking,NonFiction,A captivating exploration of the role in which Queen Victoria exerted most international power and influence: as a matchmaking grandmother,Deborah Cadbury 
Women & Power,NonFiction,At long last  Mary Beard addresses in one brave book the misogynists and trolls who mercilessly attack and demean women the world over  including  very often,Mary Beard 
Mythos,NonFiction,The Greek myths are the greatest stories ever told  passed down through millennia and inspiring writers and artists as varied as Shakespeare,Stephen Fry 
Friends Divided,NonFiction,From the great historian of the American Revolution  New York Times-bestselling and Pulitzer-winning Gordon Wood  comes a majestic dual biography of two of America's most enduringly fascinating figures,Gordon S. Wood 
Mean,NonFiction,Myriam Gurba's debut is the bold and hilarious tale of her coming of age as a queer  mixed-race Chicana. Blending radical formal fluidity and caustic humor,Myriam Gurba
Black Tudors,NonFiction,A black porter publicly whips a white English gentleman in a Gloucestershire manor house. A heavily pregnant African woman is abandone,Miranda Kaufmann 
They Can't Kill Us Until They Kill Us,NonFiction,In an age of confusion  fear  and loss  Hanif Abdurraqib's is a voice that matters. Whether he's attending a Bruce Springsteen concert the day after visiting ,Hanif Willis-Abdurraqib 
Playing with Fire,NonFiction,From the celebrated host of MSNBC's The Last Word with Lawrence O'Donnell  an important and enthralling new account of the presidential election that changed everything,Lawrence O'Donnell 
